S.No.,Towns,Default_Rate,Avg_Income,Unemployment_Rate,Economic_Growth,Credit_Risk
43,Gaya,0.2244077989818162,74942.35032839332,6.4175397593792525,3.284557108228829,1.403720579587799
44,Gorakhpur,0.0650563679073174,32472.41523289969,6.675808551646151,5.410207051149448,1.3796770770553244
45,Hyderabad,0.2166916788614169,68406.30286841071,9.695491028377832,3.293019808842929,2.0561465262062697
46,Imphal,0.2176594674045398,33124.64673381874,4.337180214340391,4.6208381830577165,0.9761499819416125
47,Jabalpur,0.1025956402684602,55777.97821419221,3.9266302393235746,2.99512660851551,0.8597572526723153
48,Jaipur,0.0822315744137133,31190.999142472076,2.8023515381239825,5.520221964504788,0.6114877691484684
49,Jamshedpur,0.1288570877310459,67400.41146611172,2.1314370367317936,4.450125100956137,0.5003059718370538
50,Jhansi,0.1409276927356556,65365.94793625054,9.436234534337524,4.498110271252584,1.9658541316439444
51,Jodhpur,0.1925491926044699,53455.036930729664,7.35933237272728,2.6386020077855945,1.586790620714985
52,Jorhat,0.1596503783655801,45359.164861299985,8.281223296185102,4.783893213684446,1.7410149010931695
53,Kakrapara,0.2970934595148065,28458.3497727569,4.253840846031593,4.180305277235707,0.9935377926405675
54,Kalapakkam,0.075511202687007,59871.43865722818,6.6912813294906135,2.2001013668985476,1.413918208903008
55,Kanchipuram,0.1022191890237086,47677.13413390344,2.511642128967849,1.802694112426282,0.5986949219344815
56,Kanpur,0.090327379471249,61102.7799735174,5.885020767476983,4.981957372586659,1.233212446926087
57,Karwar,0.2132770813663496,68319.11629643146,9.819961117955575,5.795833015176113,2.066561222505407
58,Kohima,0.1133229006349455,73776.07525014429,9.012041962532727,3.290694136300214,1.8781303443725166
59,Kolkata,0.1665776932140765,67790.16711963055,4.705271614694765,3.954920826618425,1.0329747818766295
60,Kota,0.1111063980004006,25585.7042092501,9.692561236331988,5.288613220967773,2.001875080342512
61,Kurnool,0.0897423959113799,42998.9032239182,3.853613011769636,3.2861172667692853,0.837057587990299
62,Lucknow,0.0775937852910762,61499.5281212029,9.594550579325452,5.759372384163681,1.9673155110704472
63,Ludhiana,0.2140823973663183,33581.483863072026,9.531021637651987,3.878755810224362,2.0176276831241813
64,Madurai,0.0845457378371534,51051.83031020647,8.393620698819134,5.103835603506575,1.7321414188497541
65,Mandi,0.0991455904200133,27716.89941696268,7.043583494934329,5.544218592063692,1.4664225657481489
66,Mangalore,0.142181292665241,34999.826244820004,8.994303732999576,5.077619093842844,1.87543610486313
67,Monghyr,0.2552483074619838,25926.0897230307,4.344162276062374,1.7970723172447798,1.026589412897205
68,Moradabad,0.0742753189482653,64684.885167871034,8.791548442503345,4.144492195308501,1.812152862276461
69,Mumbai,0.2594862268747009,36196.23440301901,6.9430135353401905,2.9921712930983855,1.5258260325273758
70,Mysore,0.0740246019734907,42267.58403484513,2.105894862071196,1.3135647601167286,0.526924627929618
71,Nagpur,0.2941148662533489,71404.06467327954,4.777868143457757,3.1201612594492096,1.105273402177664
72,Nagarjunasagar,0.1671628004119253,60220.72009617664,3.1851268875853203,2.2934203344470383,0.7474984763722009
73,Nainital,0.2941902720475843,26591.94647656539,9.854635118546025,5.245191542142554,2.107679494832167
74,Nasik,0.2012113799362614,33234.70782489564,5.8269624563199045,1.1665231327334808,1.3316109023084188
75,Nellore,0.2348158948495754,56073.92007498817,5.979130923989302,5.794913609317367,1.3070144054675983
76,Osmanabad,0.0597969480635801,53861.42943020838,7.115780131189789,2.776844242359648,1.4830924779982562
77,Panjim,0.1207017406441024,36894.64106872543,4.94867684903694,2.7835344520127143,1.0739497451240847
78,Patiala,0.0800491403032922,71710.69989623969,3.095202173484791,1.0816425134185397,0.7435162616741633
79,Patna,0.1240350493805362,55698.2977982948,8.576941865553964,1.9261616261809196,1.8169245022318599
80,Pilibhit,0.079681929738561,51781.64015124792,3.5187832952220637,3.0062975040180437,0.7688987321414046
81,Pondicherry,0.129495794848494,54495.49881772855,6.090551860371648,5.6464570865135695,1.2876244155474108
82,Pune,0.1535657486286675,61506.10147583848,3.794536231797914,1.4980746511063567,0.8870907710817914
83,Raipur,0.066036874087196,40597.24977398009,2.7827558759522724,5.726507667395397,0.6004359646424802
84,Rajkot,0.2231180298425049,44911.0531108046,8.897532139373467,5.347442652733161,1.8874608474843309
85,Ranchi,0.1916503635516437,35492.18744875611,9.783355912185042,3.270811984537759,2.063913228383222
86,Roorkee,0.1163473727348613,34309.65029401681,9.686677264504002,2.6335044088413,2.0218553625550513
87,Rourkela,0.1808120133666749,72218.61949919668,9.252443993769432,2.1637206463952845,1.9690344452140638
88,Sadiya,0.0734851276896104,61977.53975246438,8.19237866158911,4.072323532384372,1.6924306295879294
89,Salem,0.1939866238890448,49522.94043087835,4.665161216229135,1.165372957377528,1.0964423898589168
90,Simla,0.2823240493940535,36370.73139866616,2.648811119903974,1.0780303222341412,0.7354618613831382
91,Sironj,0.1296422381128309,37717.82408851964,5.257929371310459,3.143978612491189,1.1352575554530466
92,Solapur,0.2168525949909204,27901.45801619378,3.857873137367542,1.3403703698736011,0.9329326624428186
93,Srinagar,0.082949465601098,46720.83127790603,3.059901078063864,2.2597049412304644,0.6894199881941854
94,Surat,0.2290818010296413,40589.79409970513,2.427417454294602,2.105804576730419,0.6246113896695581
95,Tarapur,0.1223515232368002,59817.17444077297,7.80475491368463,2.26595596861426,1.6540280915018497
96,Tezpur,0.0957978405017792,43887.59196462404,2.091419669000248,1.6552761560762888,0.5170227857763471
97,Thane,0.1966282337025208,33980.18387798174,8.16464598802221,1.0601811144882711,1.8059128260306703
98,Thanjavur,0.0550268865468733,26233.93641956656,3.1755731632030004,1.5774214856937403,0.7205314202187976
99,Thiruvananthapuram,0.2572350073043408,28362.48157316243,2.636176660694046,4.09240129756374,0.6545754437145647
100,Tiruchirappali,0.0511738690481367,58969.63867492836,2.716824273908843,5.871281064090251,0.5808715478298186
101,Trivennamalai,0.2194541341990575,47684.84222780226,7.376382458831316,5.95172500780447,1.57986628829528
102,Udaipur,0.1175019932980412,51828.96055543611,3.962937678822758,3.045270476865308,0.8724319269801201
103,Vadodara,0.2337985055306487,69833.56465201711,5.364315733440788,1.8147721302330269,1.2214901816798873
104,Varanasi,0.2905471362793596,74516.94736983522,6.458950330591335,4.193808786832646,1.4318576197633262
105,Vellore,0.1121882858799895,35844.84921992369,8.88440939063035,3.4515267327436856,1.850738247809419
106,Vijaywada,0.1940393336044592,58153.91015500504,7.816354101690626,5.947048886422158,1.6577067752203387
107,Vishakhapatnam,0.1980104828179597,38166.11883685753,4.162623241909717,1.326521035758901,0.9871218614889047
