S.No.,Towns,Zone,"Zone Factor, Z",Default_Rate,Avg_Income,Unemployment_Rate,Economic_Growth
93,Srinagar,III,0.16,0.08294946560109805,46720.831277906036,3.059901078063864,2.2597049412304644
94,Surat,II,0.1,0.22908180102964137,40589.79409970513,2.427417454294602,2.105804576730419
95,Tarapur,V,0.36,0.12235152323680028,59817.17444077297,7.80475491368463,2.26595596861426
96,Tezpur,III,0.16,0.09579784050177921,43887.59196462404,2.0914196690002482,1.6552761560762888
97,Thane,II,0.1,0.1966282337025208,33980.18387798174,8.16464598802221,1.0601811144882713
98,Thanjavur,V,0.36,0.05502688654687339,26233.936419566562,3.1755731632030004,1.5774214856937405
99,Thiruvananthapuram,II,0.1,0.2572350073043408,28362.48157316243,2.636176660694046,4.09240129756374
100,Tiruchirappali,III,0.16,0.05117386904813677,58969.63867492836,2.716824273908843,5.871281064090251
101,Trivennamalai,IV,0.24,0.21945413419905752,47684.84222780226,7.376382458831316,5.95172500780447
102,Udaipur,II,0.1,0.11750199329804122,51828.96055543611,3.962937678822758,3.045270476865308
103,Vadodara,III,0.16,0.23379850553064874,69833.56465201711,5.364315733440788,1.8147721302330269
104,Varanasi,II,0.1,0.2905471362793596,74516.94736983522,6.458950330591335,4.193808786832646
105,Vellore,IV,0.24,0.11218828587998951,35844.84921992369,8.88440939063035,3.4515267327436856
106,Vijaywada,III,0.16,0.19403933360445924,58153.91015500504,7.816354101690626,5.947048886422158
107,Vishakhapatnam,IV,0.24,0.19801048281795974,38166.11883685753,4.162623241909717,1.326521035758901
